id,ACTION
1,0.898130
2,0.997200
3,0.999333
4,0.999479
5,1.000000
6,0.998400
7,0.980914
8,0.996333
9,0.920605
10,0.995777
11,0.883631
12,0.999003
13,0.944296
14,0.956292
15,0.970283
16,0.935999
17,0.917871
18,0.987281
19,0.993931
20,0.996532
21,0.997193
22,0.998000
23,0.977413
24,0.964900
25,0.998154
26,0.920750
27,0.947922
28,0.976900
29,0.992773
30,0.956037
31,0.995195
32,0.997266
33,0.995767
34,0.997468
35,0.989746
36,1.000000
37,0.988700
38,0.980867
39,0.966911
40,0.935840
41,0.971753
42,0.994933
43,0.997545
44,0.997061
45,0.995476
46,0.969819
47,0.997000
48,0.996344
49,0.998842
50,0.951316
51,0.955350
52,0.996379
53,0.990816
54,0.998000
55,0.955533
56,0.984761
57,0.991031
58,0.996100
59,0.959955
60,0.936838
61,0.999792
62,0.975642
63,0.975518
64,1.000000
65,0.992850
66,0.987333
67,0.921950
68,0.999895
69,0.952090
70,0.528872
71,0.964484
72,0.997333
73,0.999000
74,0.995801
75,0.997033
76,1.000000
77,0.981337
78,0.808306
79,0.479061
80,0.979286
81,0.973650
82,0.988622
83,0.967467
84,0.994000
85,0.997568
86,0.975525
87,0.998200
88,0.996188
89,0.998727
90,0.751156
91,0.992953
92,0.576265
93,0.994800
94,0.951879
95,0.982815
96,0.971483
97,0.420815
98,0.930575
99,1.000000
100,0.986833
101,0.898786
102,0.843365
103,0.993133
104,0.992589
105,0.513550
106,0.991495
107,0.998400
108,0.984453
109,0.998838
110,0.969521
111,0.664590
112,0.983400
113,0.965641
114,0.972529
115,0.990419
116,0.993212
117,0.992911
118,0.994926
119,0.993133
120,0.993371
121,0.875382
122,0.993391
123,0.997290
124,0.941257
125,0.998000
126,0.974884
127,0.964496
128,0.916016
129,0.973590
130,0.844877
131,0.998200
132,0.998500
133,0.954257
134,0.973295
135,0.997667
136,0.984436
137,0.992063
138,0.982590
139,0.837803
140,1.000000
141,0.977263
142,0.946695
143,1.000000
144,0.971600
145,0.997183
146,0.641824
147,0.963082
148,0.982515
149,0.999717
150,1.000000
151,0.991500
152,0.661035
153,0.989723
154,0.981703
155,0.995797
156,0.965121
157,0.936957
158,0.992400
159,0.747725
160,0.996200
161,0.866910
162,0.992290
163,0.985151
164,0.959704
165,0.999857
166,0.986104
167,0.945675
168,0.906920
169,0.946761
170,0.997100
171,0.991333
172,0.992600
173,0.987966
174,0.982916
175,0.983740
176,0.995933
177,0.927247
178,0.996998
179,0.994780
180,0.991452
181,0.804269
182,0.952685
183,0.887406
184,0.792498
185,0.996431
186,0.967027
187,0.999854
188,0.972642
189,0.561371
190,0.981443
191,1.000000
192,0.975418
193,0.999967
194,0.987200
195,0.995268
196,0.999600
197,0.992900
198,0.988434
199,0.996831
200,0.486308
201,0.985705
