id,ACTION
1,0.902024
2,0.994711
3,0.999263
4,0.998322
5,0.999993
6,0.999467
7,0.983177
8,0.996578
9,0.920033
10,0.994612
11,0.876998
12,0.998790
13,0.940209
14,0.964113
15,0.970015
16,0.937104
17,0.916059
18,0.989022
19,0.997424
20,0.996060
21,0.997089
22,0.993519
23,0.977630
24,0.973375
25,0.996927
26,0.918048
27,0.952777
28,0.973378
29,0.989055
30,0.957379
31,0.994091
32,0.995767
33,0.995296
34,0.994178
35,0.986533
36,0.999889
37,0.991567
38,0.986070
39,0.974118
40,0.923512
41,0.964507
42,0.985913
43,0.996493
44,0.995191
45,0.994434
46,0.972976
47,0.998167
48,0.995650
49,0.999198
50,0.948713
51,0.947751
52,0.998313
53,0.988991
54,0.999333
55,0.954205
56,0.986599
57,0.993071
58,0.997875
59,0.960628
60,0.938825
61,0.999931
62,0.976751
63,0.976062
64,0.999444
65,0.994335
66,0.990973
67,0.914766
68,0.997479
69,0.953984
70,0.517135
71,0.962891
72,0.994644
73,0.998333
74,0.996021
75,0.998215
76,0.998075
77,0.985743
78,0.798460
79,0.502869
80,0.980746
81,0.973334
82,0.987685
83,0.969914
84,0.991511
85,0.997698
86,0.969679
87,0.996354
88,0.997461
89,0.998339
90,0.755532
91,0.990463
92,0.603035
93,0.995689
94,0.951525
95,0.981350
96,0.972065
97,0.404347
98,0.924037
99,0.998222
100,0.992238
101,0.899230
102,0.837360
103,0.994070
104,0.987357
105,0.533370
106,0.991008
107,0.996234
108,0.982493
109,0.999604
110,0.972907
111,0.654435
112,0.989779
113,0.961898
114,0.970300
115,0.987943
116,0.991755
117,0.992982
118,0.994474
119,0.994635
120,0.991090
121,0.896856
122,0.993787
123,0.997772
124,0.944899
125,0.998944
126,0.974793
127,0.968026
128,0.910151
129,0.972344
130,0.861763
131,0.997187
132,0.996635
133,0.962315
134,0.976755
135,0.998922
136,0.984945
137,0.992300
138,0.987032
139,0.821583
140,0.999484
141,0.979535
142,0.953648
143,0.999867
144,0.973156
145,0.996636
146,0.670182
147,0.966010
148,0.975200
149,0.999188
150,0.999667
151,0.997033
152,0.668724
153,0.994196
154,0.983169
155,0.996697
156,0.961596
157,0.935311
158,0.991022
159,0.752125
160,0.995813
161,0.871410
162,0.993347
163,0.987863
164,0.959037
165,0.998800
166,0.982326
167,0.947114
168,0.905318
169,0.955396
170,0.996100
171,0.993644
172,0.988883
173,0.989707
174,0.988602
175,0.978230
176,0.994767
177,0.927191
178,0.997452
179,0.992642
180,0.986000
181,0.803800
182,0.949165
183,0.884586
184,0.777537
185,0.993393
186,0.965344
187,0.999422
188,0.972029
189,0.573707
190,0.986297
191,0.999333
192,0.977695
193,0.999976
194,0.989137
195,0.994984
196,0.999404
197,0.990556
198,0.984378
199,0.996604
200,0.469490
201,0.988599
202,0.906837
203,0.989768
204,0.953032
205,0.884352
206,0.981112
207,0.991252
208,0.972301
209,0.576829
210,0.616171
211,0.927698
212,0.922314
213,1.000000
214,0.991805
215,0.991936
216,0.956305
217,0.994163
218,0.971897
219,0.999721
220,0.989446
221,0.684789
222,0.999300
223,0.995522
224,0.977010
225,0.990195
226,0.682826
227,0.939820
228,0.996334
229,0.999867
230,0.981784
231,0.952310
232,0.777436
233,0.941614
234,0.299718
235,0.988072
236,0.672273
237,0.997359
238,0.941922
239,0.921233
240,0.997900
241,0.990644
242,0.746457
243,0.286654
244,0.979232
245,0.987626
246,0.962327
247,0.962354
248,0.985225
249,0.980347
250,0.990100
251,0.932932
252,0.660289
253,0.974192
254,0.998000
255,0.999400
256,0.974342
257,0.991435
258,0.895494
259,0.996210
260,0.999856
261,0.976371
262,0.978254
263,0.998073
264,0.999800
265,0.997611
266,0.961168
267,0.997070
268,0.998793
269,0.993736
270,0.995941
271,0.985963
272,0.929253
273,0.999333
274,0.338509
275,0.997944
276,0.970289
277,0.966209
278,0.991252
279,0.956306
280,0.976923
281,0.998482
282,0.988089
283,0.976588
284,0.938837
285,0.995811
286,0.934045
287,0.994544
288,0.998551
289,0.997706
290,0.998900
291,0.807254
292,0.774343
293,0.983877
294,0.968592
295,0.995123
296,0.248650
297,0.482274
298,0.981604
299,0.873310
300,0.995253
301,0.916688
302,0.999333
303,0.779398
304,0.884265
305,0.997833
306,0.993669
307,0.998442
308,0.999833
309,0.990593
310,0.992158
311,0.994130
312,0.985530
313,0.997580
314,0.986246
315,0.980478
316,0.998867
317,0.885403
318,0.995981
319,0.972585
320,0.997769
321,0.992509
322,0.335095
323,0.999567
324,0.979698
325,0.990171
326,0.709312
327,0.994494
328,0.999351
329,0.988220
330,0.967378
331,0.998984
332,0.999167
333,0.972879
334,0.980716
335,0.998887
336,0.921992
337,0.994500
338,0.990863
339,0.998379
340,0.943993
341,0.982210
342,0.975739
343,0.879817
